釣	4653
桑	4650
腐	4648
渓	4643
貝	4628
寮	4624
媛	4606
朗	4606
柴	4602
椎	4583
宋	4578
秩	4576
畳	4575
怖	4566
屯	4561
祐	4547
勘	4542
牽	4535
柏	4521
巧	4490
懐	4478
茎	4445
履	4442
麦	4433
祈	4430
咲	4430
衡	4413
呈	4384
郭	4375
繊	4367
耕	4364
倫	4362
腸	4343
溝	4342
枢	4331
侍	4320
剰	4319
播	4313
堺	4296
雰	4294
戯	4292
夷	4287
胴	4279
妨	4277
慎	4267
寸	4264
犠	4263
搬	4262
菅	4258
辰	4254
邪	4243
粘	4228
腰	4224
雀	4221
盆	4217
匹	4205
晋	4185
循	4179
鷹	4175
勉	4172
忘	4147
訂	4140
宜	4137
拍	4136
掃	4126
牝	4111
釜	4102
揺	4098
肢	4093
國	4090
陶	4090
舟	4082
庶	4076
肝	4069
函	4067
嗣	4060
尿	4057
噂	4056
泥	4053
蓋	4029
慢	4012
僅	4009
秦	3994
篠	3992
牲	3988
孔	3982
桐	3981
斗	3974
琉	3971
乏	3959
凍	3935
叩	3921
暫	3920
叔	3917
炉	3913
擬	3888
燥	3863
虜	3862
乙	3837
嵐	3834
蜂	3830
肺	3827
芽	3800
癌	3790
錦	3788
舶	3782
扇	3771
疎	3771
黙	3746
尋	3726
朽	3722
闇	3703
惨	3687
蛇	3684
臭	3670
猿	3649
琴	3648
應	3621
腫	3615
綿	3604
雌	3592
澄	3589
霧	3582
乃	3566
絞	3566
虚	3566
呪	3562
班	3554
佳	3550
碁	3549
慈	3543
哨	3523
輌	3520
纂	3506
瑞	3504
鉛	3493
穏	3480
菩	3471
寧	3465
竣	3460
麓	3446
准	3442
隅	3431
漏	3427
跳	3425
猟	3425
尺	3423
傑	3422
鼓	3417
厩	3416
畜	3409
貌	3408
壮	3403
魏	3395
讃	3394
潤	3390
貼	3382
疫	3370
篇	3367
汎	3356
涼	3349
誓	3337
偉	3330
胆	3322
蹴	3316
是	3312
羊	3305
歓	3301
奮	3299
勾	3293
褐	3292
懲	3285
謙	3279
敢	3268
萩	3263
淳	3257
賜	3246
粛	3243
矛	3239
帥	3236
践	3224
吐	3221
敦	3218
妊	3218
苗	3199
砦	3198
錯	3190
砕	3190
幽	3183
猪	3180
餌	3177
嫁	3176
舌	3172
兆	3161
淵	3156
漠	3154
綾	3140
刃	3140
鋳	3131
閲	3124
胤	3109
玩	3105
淀	3088
拾	3079
膚	3074
剥	3070
磯	3059
把	3039
鍋	3038
駄	3032
涙	3021
帽	3014
烏	3011
妥	3003
亮	2995
叫	2991
遮	2983
泣	2981
喪	2978
壌	2975
醸	2972
惜	2961
彗	2954
伎	2945
酔	2934
脊	2931
辻	2925
瓶	2912
瓦	2908
倣	2904
礁	2904
棲	2903
忌	2892
諾	2885
慰	2885
諏	2875
墨	2865
賭	2854
鞭	2852
庵	2849
洛	2845
胡	2842
僕	2841
据	2837
鴨	2836
汲	2830
唆	2826
唄	2821
槻	2819
賠	2811
籠	2798
綴	2796
汁	2793
甥	2788
焦	2782
韻	2778
蒙	2773
髄	2762
遡	2756
逝	2755
鐘	2753
裸	2753
趙	2750
俵	2743
汽	2742
芦	2733
疲	2722
吊	2717
鍛	2714
胎	2710
凶	2709
靖	2707
岬	2700
陀	2690
橘	2689
穀	2682
凝	2680
煮	2675
哉	2670
藻	2669
鯨	2666
帆	2663
倶	2661
倭	2654
曰	2651
跨	2649
斑	2630
鞍	2626
湘	2623
狼	2621
零	2618
窮	2610
萌	2609
恭	2609
嶺	2607
欄	2605
廉	2604
畠	2592
窟	2591
篤	2579
隈	2577
儒	2576
隙	2573
凡	2571
靴	2557
翔	2540
糧	2535
遍	2532
塊	2527
馴	2518
粧	2518
簿	2510
潔	2508
缶	2508
昧	2496
曾	2495
縛	2492
頑	2490
匿	2483
窒	2481
擢	2480
廊	2477
嘆	2473
遼	2472
漂	2465
豚	2464
囚	2452
迦	2438
藍	2437
骸	2434
槍	2434
膝	2430
錬	2418
胃	2414
圓	2412
笛	2411
鳩	2401
顎	2399
刈	2399
填	2389
潰	2386
泌	2372
或	2367
弧	2366
喚	2362
樺	2362
袖	2359
俺	2358
樽	2349
牙	2347
棚	2323
諭	2322
枯	2312
臼	2309
笹	2302
詣	2302
擦	2296
癒	2276
綻	2275
挫	2272
椅	2272
戚	2271
閏	2266
灘	2265
崖	2254
楼	2249
肖	2244
